Source,CH2,CH4
Second,Volt,Volt
-0.00007000000,0.20000,3.12000
-0.00006999500,0.00,3.12000
-0.00006999000,0.00,3.12000
-0.00006998500,0.00,3.12000
-0.00006998000,0.00,3.04000
-0.00006997500,0.00,3.12000
-0.00006997000,0.00,3.20000
-0.00006996500,0.00,3.12000
-0.00006996000,0.00,3.12000
-0.00006995500,0.00,3.12000
-0.00006995000,0.00,3.12000
-0.00006994500,0.20000,3.12000
-0.00006994000,0.00,3.12000
-0.00006993500,0.00,3.12000
-0.00006993000,0.00,3.12000
-0.00006992500,0.00,3.12000
-0.00006992000,0.00,3.12000
-0.00006991500,0.20000,3.12000
-0.00006991000,0.00,3.12000
-0.00006990500,0.20000,3.04000
-0.00006990000,0.00,3.12000
-0.00006989500,0.00,3.12000
-0.00006989000,0.20000,3.04000
-0.00006988500,0.00,3.04000
-0.00006988000,0.00,3.12000
-0.00006987500,0.00,3.12000
-0.00006987000,0.20000,3.04000
-0.00006986500,0.00,3.12000
-0.00006986000,0.00,3.04000
-0.00006985500,0.00,3.04000
-0.00006985000,0.20000,3.04000
-0.00006984500,0.00,3.12000
-0.00006984000,0.00,3.12000
-0.00006983500,0.00,3.12000
-0.00006983000,0.20000,3.12000
-0.00006982500,0.00,3.12000
-0.00006982000,0.20000,3.12000
-0.00006981500,0.00,3.12000
-0.00006981000,0.20000,3.12000
-0.00006980500,0.00,3.12000
-0.00006980000,0.20000,3.12000
-0.00006979500,0.00,3.12000
-0.00006979000,0.20000,3.12000
-0.00006978500,0.00,3.12000
-0.00006978000,0.00,3.12000
-0.00006977500,0.00,3.04000
-0.00006977000,0.00,3.12000
-0.00006976500,-0.20000,3.12000
-0.00006976000,0.00,3.12000
-0.00006975500,0.00,3.04000
-0.00006975000,0.00,3.12000
-0.00006974500,0.00,3.12000
-0.00006974000,0.00,3.12000
-0.00006973500,0.20000,3.12000
-0.00006973000,0.00,3.12000
-0.00006972500,0.20000,3.12000
-0.00006972000,0.00,3.12000
-0.00006971500,0.00,3.12000
-0.00006971000,0.00,3.20000
-0.00006970500,0.00,3.12000
-0.00006970000,0.20000,3.12000
-0.00006969500,0.00,3.12000
-0.00006969000,0.00,3.12000
-0.00006968500,0.00,3.12000
-0.00006968000,0.00,3.12000
-0.00006967500,0.00,3.12000
-0.00006967000,0.00,3.12000
-0.00006966500,0.00,3.04000
-0.00006966000,0.20000,3.04000
-0.00006965500,0.00,3.12000
-0.00006965000,0.20000,3.12000
-0.00006964500,0.20000,3.04000
-0.00006964000,0.00,3.12000
-0.00006963500,0.00,3.12000
-0.00006963000,0.00,3.20000
-0.00006962500,0.00,3.12000
-0.00006962000,0.20000,3.12000
-0.00006961500,0.20000,3.12000
-0.00006961000,0.00,3.12000
-0.00006960500,0.00,3.12000
-0.00006960000,0.00,3.12000
-0.00006959500,-0.20000,3.12000
-0.00006959000,0.20000,3.20000
-0.00006958500,0.00,3.12000
-0.00006958000,0.20000,3.12000
-0.00006957500,0.00,3.20000
-0.00006957000,0.00,3.20000
-0.00006956500,0.00,3.12000
-0.00006956000,0.00,3.12000
-0.00006955500,0.00,3.04000
-0.00006955000,0.00,3.12000
-0.00006954500,0.00,3.12000
-0.00006954000,0.00,3.12000
-0.00006953500,0.00,3.12000
-0.00006953000,0.00,3.20000
-0.00006952500,0.20000,3.12000
-0.00006952000,0.00,3.12000
-0.00006951500,0.00,3.04000
-0.00006951000,0.20000,3.12000
-0.00006950500,-0.20000,3.12000
-0.00006950000,0.00,3.12000
-0.00006949500,0.00,3.12000
-0.00006949000,0.20000,3.12000
-0.00006948500,0.00,3.12000
-0.00006948000,0.00,3.04000
-0.00006947500,0.00,3.12000
-0.00006947000,0.20000,3.12000
-0.00006946500,0.00,3.20000
-0.00006946000,0.00,3.12000
-0.00006945500,0.20000,3.12000
-0.00006945000,0.20000,3.12000
-0.00006944500,0.00,3.04000
-0.00006944000,0.20000,3.12000
-0.00006943500,0.00,3.12000
-0.00006943000,0.00,3.12000
-0.00006942500,0.00,3.12000
-0.00006942000,0.20000,3.12000
-0.00006941500,0.00,3.12000
-0.00006941000,0.00,3.04000
-0.00006940500,0.00,3.04000
-0.00006940000,0.20000,3.12000
-0.00006939500,0.00,3.04000
-0.00006939000,0.20000,3.20000
-0.00006938500,0.00,3.12000
-0.00006938000,0.20000,3.12000
-0.00006937500,0.00,3.12000
-0.00006937000,0.00,3.20000
-0.00006936500,0.00,3.20000
-0.00006936000,0.20000,3.12000
-0.00006935500,0.00,3.20000
-0.00006935000,0.20000,3.20000
-0.00006934500,0.00,3.12000
-0.00006934000,0.00,3.20000
-0.00006933500,0.20000,3.12000
-0.00006933000,0.20000,3.12000
-0.00006932500,0.20000,3.04000
-0.00006932000,0.20000,3.12000
-0.00006931500,0.00,3.12000
-0.00006931000,0.20000,3.04000
-0.00006930500,0.00,3.12000
-0.00006930000,0.00,3.04000
-0.00006929500,0.00,3.12000
-0.00006929000,0.00,3.12000
-0.00006928500,0.00,3.04000
-0.00006928000,0.20000,3.12000
-0.00006927500,0.00,3.20000
-0.00006927000,0.00,3.20000
-0.00006926500,0.00,3.04000
-0.00006926000,0.00,3.04000
-0.00006925500,0.00,3.12000
-0.00006925000,0.20000,3.12000
-0.00006924500,0.00,3.12000
-0.00006924000,0.20000,3.12000
-0.00006923500,0.00,3.12000
-0.00006923000,0.20000,3.04000
-0.00006922500,0.00,3.12000
-0.00006922000,0.00,3.12000
-0.00006921500,0.00,3.12000
-0.00006921000,0.20000,3.20000
-0.00006920500,0.00,3.12000
-0.00006920000,0.00,3.04000
-0.00006919500,0.00,3.12000
-0.00006919000,0.00,3.12000
-0.00006918500,0.00,3.12000
-0.00006918000,0.20000,3.12000
-0.00006917500,0.00,3.04000
-0.00006917000,0.20000,3.20000
-0.00006916500,0.00,3.12000
-0.00006916000,0.00,3.20000
-0.00006915500,0.20000,3.12000
-0.00006915000,0.20000,3.04000
-0.00006914500,0.00,3.12000
-0.00006914000,0.20000,3.20000
-0.00006913500,0.00,3.04000
-0.00006913000,0.00,3.12000
-0.00006912500,0.00,3.12000
-0.00006912000,0.00,3.12000
-0.00006911500,0.00,3.04000
-0.00006911000,0.20000,3.12000
-0.00006910500,0.00,3.04000
-0.00006910000,0.20000,3.04000
-0.00006909500,0.20000,3.12000
-0.00006909000,0.00,3.12000
-0.00006908500,0.00,3.20000
-0.00006908000,0.00,3.20000
-0.00006907500,0.00,3.12000
-0.00006907000,0.00,3.12000
-0.00006906500,0.00,3.04000
-0.00006906000,0.20000,3.12000
-0.00006905500,0.00,3.20000
-0.00006905000,0.00,3.04000
-0.00006904500,0.00,3.20000
-0.00006904000,0.20000,3.20000
-0.00006903500,0.00,3.04000
-0.00006903000,0.00,3.12000
-0.00006902500,0.00,3.12000
-0.00006902000,0.20000,3.04000
-0.00006901500,0.20000,3.12000
-0.00006901000,0.00,3.12000
-0.00006900500,0.00,3.20000
-0.00006900000,0.00,3.12000
-0.00006899500,0.00,3.12000
-0.00006899000,0.00,3.12000
-0.00006898500,0.00,3.12000
-0.00006898000,0.20000,3.12000
-0.00006897500,0.00,3.12000
-0.00006897000,0.20000,3.04000
-0.00006896500,0.00,3.12000
-0.00006896000,0.20000,3.12000
-0.00006895500,0.00,3.12000
-0.00006895000,0.00,3.12000
-0.00006894500,0.00,3.12000
-0.00006894000,0.00,3.12000
-0.00006893500,0.00,3.20000
-0.00006893000,0.20000,3.04000
-0.00006892500,0.00,3.12000
-0.00006892000,0.00,3.04000
-0.00006891500,0.00,3.12000
-0.00006891000,0.00,3.12000
-0.00006890500,0.00,3.12000
-0.00006890000,0.20000,3.12000
-0.00006889500,0.00,3.20000
-0.00006889000,0.00,3.12000
-0.00006888500,0.00,3.12000
-0.00006888000,0.00,3.20000
-0.00006887500,0.00,3.12000
-0.00006887000,0.00,3.04000
-0.00006886500,0.00,3.12000
-0.00006886000,0.00,3.12000
-0.00006885500,0.00,3.04000
-0.00006885000,0.00,3.12000
-0.00006884500,0.00,3.12000
-0.00006884000,0.20000,3.12000
-0.00006883500,0.20000,3.04000
-0.00006883000,0.00,3.12000
-0.00006882500,0.00,3.12000
-0.00006882000,0.20000,3.20000
-0.00006881500,0.00,3.12000
-0.00006881000,0.00,3.04000
-0.00006880500,0.00,3.12000
-0.00006880000,0.00,3.12000
-0.00006879500,0.00,3.12000
-0.00006879000,0.20000,3.12000
-0.00006878500,0.00,3.12000
-0.00006878000,0.00,3.12000
-0.00006877500,0.00,3.12000
-0.00006877000,0.20000,3.12000
-0.00006876500,0.00,3.12000
-0.00006876000,0.20000,3.12000
-0.00006875500,0.00,3.12000
-0.00006875000,0.00,3.20000
-0.00006874500,0.00,3.12000
-0.00006874000,0.00,3.12000
-0.00006873500,0.00,3.04000
-0.00006873000,0.20000,3.12000
-0.00006872500,0.20000,3.04000
-0.00006872000,0.20000,3.20000
-0.00006871500,0.20000,3.12000
-0.00006871000,0.20000,3.12000
-0.00006870500,0.00,3.04000
-0.00006870000,0.00,3.12000
-0.00006869500,-0.20000,3.20000
-0.00006869000,0.00,3.12000
-0.00006868500,0.00,3.20000
-0.00006868000,0.00,3.12000
-0.00006867500,0.00,3.20000
-0.00006867000,0.00,3.12000
-0.00006866500,0.00,3.04000
-0.00006866000,0.20000,3.12000
-0.00006865500,0.00,3.12000
-0.00006865000,0.20000,3.20000
-0.00006864500,0.20000,3.12000
-0.00006864000,0.00,3.12000
-0.00006863500,0.00,3.12000
-0.00006863000,0.00,3.12000
-0.00006862500,0.00,3.12000
-0.00006862000,0.00,3.12000
-0.00006861500,0.00,3.20000
-0.00006861000,0.00,3.12000
-0.00006860500,0.00,3.20000
-0.00006860000,0.00,3.04000
-0.00006859500,0.00,3.04000
-0.00006859000,0.20000,3.12000
-0.00006858500,0.00,3.12000
-0.00006858000,0.00,3.12000
-0.00006857500,0.00,3.12000
-0.00006857000,0.20000,3.12000
-0.00006856500,0.20000,3.20000
-0.00006856000,0.00,3.12000
-0.00006855500,0.00,3.04000
-0.00006855000,0.20000,3.12000
-0.00006854500,0.00,3.12000
-0.00006854000,0.20000,3.12000
-0.00006853500,0.00,3.12000
-0.00006853000,0.00,3.04000
-0.00006852500,-0.20000,3.12000
-0.00006852000,0.00,3.12000
-0.00006851500,0.20000,3.04000
-0.00006851000,0.20000,3.20000
-0.00006850500,0.00,3.04000
-0.00006850000,0.00,3.12000
-0.00006849500,0.00,3.12000
-0.00006849000,0.00,3.12000
-0.00006848500,0.00,3.12000
-0.00006848000,0.20000,3.20000
